[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_7_18_n10 /home/emarolab/ASP/CAPF/ASP/clingo/data/7_18/7_18_n10.asp 7_18"
[pyrunlim] start:		Mon Jan 22 05:19:10 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.098	     0.560	     0.000	      45.9	       9.9	       0.0
[pyrunlim] sample:		    20.448	     3.880	     0.070	     118.4	       9.9	       0.0
[pyrunlim] sample:		    30.122	     7.070	     0.090	     136.3	      44.3	       0.0
[pyrunlim] sample:		    40.297	    12.570	     0.200	     193.4	      87.6	       0.0
[pyrunlim] sample:		    50.477	    18.060	     0.280	     220.8	       9.9	       0.0
[pyrunlim] sample:		    60.643	    24.830	     0.360	     249.3	     244.8	       0.0
[pyrunlim] sample:		    70.821	    32.330	     0.430	     290.8	     279.3	       0.0
[pyrunlim] sample:		    81.000	    40.340	     0.500	     297.5	     297.5	       0.0
[pyrunlim] sample:		    90.153	    46.990	     0.610	     310.8	     310.8	       0.0
[pyrunlim] sample:		   100.332	    54.900	     0.620	     317.7	      86.9	       0.0
[pyrunlim] sample:		   110.499	    65.010	     0.680	     336.4	     336.4	       0.0
[pyrunlim] sample:		   120.674	    72.840	     0.740	     336.4	     237.3	       0.0
[pyrunlim] sample:		   130.847	    82.990	     0.760	     366.9	     354.2	       0.0
[pyrunlim] sample:		   140.007	    92.150	     0.760	     366.9	     354.2	       0.0
[pyrunlim] sample:		   150.170	    99.270	     0.810	     366.9	     177.6	       0.0
[pyrunlim] sample:		   160.345	   109.390	     0.860	     386.2	     372.5	       0.0
[pyrunlim] sample:		   170.523	   119.570	     0.860	     386.2	     372.5	       0.0
[pyrunlim] sample:		   180.701	   129.750	     0.860	     386.2	     372.5	       0.0
[pyrunlim] sample:		   190.879	   137.430	     0.940	     386.2	     342.8	       0.0
[pyrunlim] sample:		   200.040	   146.580	     0.950	     405.2	     392.7	       0.0
[pyrunlim] sample:		   210.220	   156.760	     0.950	     405.2	     392.7	       0.0
[pyrunlim] sample:		   220.402	   166.940	     0.950	     405.2	     392.7	       0.0
[pyrunlim] sample:		   230.580	   177.110	     0.950	     405.2	     392.7	       0.0
[pyrunlim] sample:		   240.759	   187.290	     0.950	     405.2	     392.7	       0.0
[pyrunlim] sample:		   250.938	   197.470	     0.950	     405.2	     392.7	       0.0
[pyrunlim] sample:		   260.098	   206.630	     0.950	     405.2	     392.7	       0.0
[pyrunlim] sample:		   270.282	   213.900	     0.980	     405.2	     186.1	       0.0
[pyrunlim] sample:		   280.457	   224.010	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   290.633	   234.190	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   300.810	   244.370	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   310.988	   254.540	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   320.147	   263.700	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   330.325	   273.880	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   340.504	   284.060	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   350.682	   294.240	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   360.858	   304.410	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   370.018	   313.570	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   380.195	   323.750	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   390.370	   333.920	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   400.546	   344.100	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   410.721	   354.270	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   420.899	   364.450	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   430.060	   373.610	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   440.236	   383.790	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   450.413	   393.970	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   460.592	   404.140	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   470.770	   414.320	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   480.950	   424.500	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   490.112	   433.660	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   500.290	   443.840	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   510.467	   454.020	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   520.645	   464.190	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   530.820	   474.370	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   540.995	   484.550	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   550.155	   493.710	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   560.334	   503.890	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   570.510	   514.060	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   580.687	   524.240	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   590.864	   534.410	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   600.025	   543.570	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   610.202	   553.750	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   620.381	   563.930	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   630.557	   574.110	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   640.733	   584.280	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   650.910	   594.460	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   660.068	   603.620	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   670.244	   613.790	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   680.420	   623.970	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   690.598	   634.150	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   700.779	   644.330	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   710.956	   654.500	     1.040	     412.9	     412.9	       0.0
[pyrunlim] sample:		   720.106	   660.590	     1.100	     412.9	     247.3	       0.0
[pyrunlim] sample:		   730.284	   670.730	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		   740.463	   680.910	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		   750.643	   691.090	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		   760.822	   701.270	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		   771.002	   711.450	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		   780.163	   720.610	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		   790.341	   730.780	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		   800.520	   740.960	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		   810.698	   751.140	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		   820.877	   761.320	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		   830.037	   770.480	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		   840.215	   780.660	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		   850.395	   790.840	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		   860.573	   801.010	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		   870.751	   811.190	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		   880.928	   821.370	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		   890.088	   830.530	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		   900.267	   840.710	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		   910.446	   850.890	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		   920.626	   861.070	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		   930.805	   871.250	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		   940.983	   881.430	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		   950.144	   890.590	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		   960.323	   900.770	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		   970.504	   910.950	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		   980.688	   921.130	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		   990.868	   931.310	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		  1000.031	   940.470	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		  1010.213	   950.650	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		  1020.392	   960.830	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		  1030.573	   971.010	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		  1040.754	   981.200	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		  1050.933	   991.370	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		  1060.096	  1000.540	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		  1070.274	  1010.720	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		  1080.451	  1020.890	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		  1090.632	  1031.070	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		  1100.814	  1041.250	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		  1110.994	  1051.440	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		  1120.155	  1060.600	     1.140	     444.7	     432.0	       0.0
[pyrunlim] sample:		  1130.333	  1070.770	     1.140	     444.7	     432.0	       0.0
