[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_13_8_n2 /home/emarolab/ASP/CAPF/ASP/clingo/data/13_8/13_8_n2.asp 13_8"
[pyrunlim] start:		Fri Jan 19 22:12:37 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.077	     0.030	     0.000	      18.3	       9.9	       0.0
[pyrunlim] sample:		    20.409	     3.180	     0.010	      61.1	      61.1	       0.0
[pyrunlim] sample:		    30.077	     8.590	     0.010	      68.3	       9.9	       0.0
[pyrunlim] sample:		    40.228	    18.070	     0.020	      75.8	      75.8	       0.0
[pyrunlim] sample:		    50.384	    27.210	     0.020	      75.8	       9.9	       0.0
[pyrunlim] sample:		    60.538	    35.630	     0.030	      83.2	      83.2	       0.0
[pyrunlim] sample:		    70.690	    45.780	     0.030	      83.7	      83.7	       0.0
[pyrunlim] sample:		    80.842	    55.930	     0.030	      83.7	      83.7	       0.0
[pyrunlim] sample:		    90.994	    66.080	     0.030	      83.7	      83.7	       0.0
[pyrunlim] sample:		   100.131	    75.220	     0.030	      83.7	      83.7	       0.0
[pyrunlim] sample:		   110.283	    85.370	     0.030	      83.7	      83.7	       0.0
[pyrunlim] sample:		   120.435	    95.530	     0.030	      83.7	      83.7	       0.0
[pyrunlim] sample:		   130.588	   105.680	     0.030	      83.7	      83.7	       0.0
[pyrunlim] sample:		   140.745	   114.810	     0.030	      83.7	       9.9	       0.0
[pyrunlim] sample:		   150.894	   123.850	     0.040	      90.5	      90.5	       0.0
[pyrunlim] sample:		   160.031	   132.990	     0.040	      90.5	      90.5	       0.0
[pyrunlim] sample:		   170.183	   143.150	     0.040	      90.5	      90.5	       0.0
[pyrunlim] sample:		   180.335	   153.300	     0.040	      90.5	      90.5	       0.0
[pyrunlim] sample:		   190.487	   163.450	     0.040	      90.5	      90.5	       0.0
[pyrunlim] sample:		   200.639	   173.600	     0.040	      90.5	      90.5	       0.0
[pyrunlim] sample:		   210.791	   183.750	     0.040	      90.5	      90.5	       0.0
[pyrunlim] sample:		   220.943	   193.900	     0.040	      90.5	      90.5	       0.0
[pyrunlim] sample:		   230.079	   203.040	     0.040	      90.5	      90.5	       0.0
[pyrunlim] sample:		   240.231	   213.190	     0.040	      90.5	      90.5	       0.0
[pyrunlim] sample:		   250.383	   223.340	     0.040	      90.5	      90.5	       0.0
[pyrunlim] sample:		   260.535	   233.500	     0.040	      90.5	      90.5	       0.0
[pyrunlim] sample:		   270.687	   243.650	     0.040	      90.5	      90.5	       0.0
[pyrunlim] sample:		   280.839	   253.800	     0.040	      90.5	      90.5	       0.0
[pyrunlim] sample:		   290.991	   263.950	     0.040	      90.5	      90.5	       0.0
[pyrunlim] sample:		   300.128	   273.090	     0.040	      90.5	      90.5	       0.0
[pyrunlim] sample:		   310.280	   283.240	     0.040	      90.5	      90.5	       0.0
[pyrunlim] sample:		   320.432	   293.390	     0.040	      90.7	      90.7	       0.0
[pyrunlim] sample:		   330.585	   303.540	     0.040	      90.7	      90.7	       0.0
[pyrunlim] sample:		   340.737	   313.700	     0.040	      90.7	      90.7	       0.0
[pyrunlim] sample:		   350.889	   323.850	     0.040	      90.7	      90.7	       0.0
[pyrunlim] sample:		   360.026	   332.980	     0.040	      90.7	      90.7	       0.0
[pyrunlim] sample:		   370.178	   343.130	     0.040	      90.7	      90.7	       0.0
[pyrunlim] sample:		   380.332	   353.290	     0.040	      90.7	      90.7	       0.0
[pyrunlim] sample:		   390.486	   363.440	     0.040	      90.7	      90.7	       0.0
[pyrunlim] sample:		   400.641	   373.600	     0.040	      90.7	      90.7	       0.0
[pyrunlim] sample:		   410.795	   383.750	     0.040	      90.7	      90.7	       0.0
[pyrunlim] sample:		   420.948	   393.910	     0.040	      90.7	      90.7	       0.0
[pyrunlim] sample:		   430.086	   403.040	     0.040	      90.7	      90.7	       0.0
[pyrunlim] sample:		   440.239	   413.200	     0.040	      90.7	      90.7	       0.0
[pyrunlim] sample:		   450.391	   423.350	     0.040	      90.7	      90.7	       0.0
[pyrunlim] sample:		   460.543	   433.500	     0.040	      90.7	      90.7	       0.0
[pyrunlim] sample:		   470.695	   443.650	     0.040	      90.7	      90.7	       0.0
[pyrunlim] sample:		   480.848	   453.810	     0.040	      90.7	      90.7	       0.0
[pyrunlim] sample:		   491.006	   461.630	     0.080	      98.3	      98.3	       0.0
[pyrunlim] sample:		   500.142	   470.760	     0.080	      98.3	      98.3	       0.0
[pyrunlim] sample:		   510.295	   480.910	     0.080	      98.6	      98.6	       0.0
[pyrunlim] sample:		   520.447	   491.070	     0.080	      98.6	      98.6	       0.0
[pyrunlim] sample:		   530.600	   501.220	     0.080	      98.6	      98.6	       0.0
[pyrunlim] sample:		   540.752	   511.370	     0.080	      98.6	      98.6	       0.0
[pyrunlim] sample:		   550.904	   521.530	     0.080	      98.6	      98.6	       0.0
[pyrunlim] sample:		   560.041	   530.660	     0.080	      98.6	      98.6	       0.0
