STEP0: (increase_angle link1 angle280 angle320)
STEP1: (decrease_angle link3 angle200 angle160)
STEP2: (decrease_angle link3 angle240 angle200)
STEP3: (decrease_angle link3 angle160 angle120)
STEP4: (increase_angle link2 angle200 angle240)
STEP5: (increase_angle link2 angle240 angle280)
STEP6: (decrease_angle link3 angle200 angle160)
STEP7: (increase_angle link4 angle120 angle160)
STEP8: (increase_angle link4 angle120 angle160)
STEP9: (increase_angle link4 angle160 angle200)
