STEP0: (increase_angle link4 angle180 angle240)
STEP1: (decrease_angle link2 angle120 angle60)
STEP2: (decrease_angle link3 angle240 angle180)
STEP3: (decrease_angle link3 angle300 angle240)
STEP4: (increase_angle link2 angle60 angle120)
STEP5: (decrease_angle link3 angle300 angle240)
STEP6: (decrease_angle link2 angle120 angle60)
STEP7: (increase_angle link7 angle60 angle120)
STEP8: (decrease_angle link3 angle60 angle0)
