STEP0: (decrease_angle link5 angle240 angle180)
STEP1: (decrease_angle link2 angle120 angle60)
STEP2: (increase_angle link1 angle0 angle60)
STEP3: (decrease_angle link3 angle60 angle0)
STEP4: (decrease_angle link1 angle120 angle60)
STEP5: (decrease_angle link1 angle60 angle0)
STEP6: (decrease_angle link1 angle180 angle120)
STEP7: (increase_angle link1 angle120 angle180)
STEP8: (decrease_angle link8 angle180 angle120)
STEP9: (decrease_angle link3 angle180 angle120)
