[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_9_9_n5 /home/emarolab/ASP/CAPF/ASP/clingo/data/9_9/9_9_n5.asp 9_9"
[pyrunlim] start:		Tue Jan 16 16:50:39 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.475	     0.100	     0.000	      25.1	      25.1	       0.0
[pyrunlim] sample:		    20.257	     0.780	     0.010	      40.5	      40.5	       0.0
[pyrunlim] sample:		    30.939	     6.830	     0.040	      61.2	      61.2	       0.0
[pyrunlim] sample:		    40.093	    15.990	     0.040	      61.2	      61.2	       0.0
[pyrunlim] sample:		    50.282	    23.870	     0.050	      66.0	      66.0	       0.0
[pyrunlim] sample:		    60.455	    34.040	     0.050	      66.0	      66.0	       0.0
[pyrunlim] sample:		    70.627	    44.210	     0.050	      68.8	      68.8	       0.0
[pyrunlim] sample:		    80.800	    54.380	     0.050	      68.8	      68.8	       0.0
[pyrunlim] sample:		    90.979	    61.820	     0.060	      71.3	      71.3	       0.0
[pyrunlim] sample:		   100.135	    70.980	     0.060	      71.3	      71.3	       0.0
[pyrunlim] sample:		   110.308	    81.150	     0.060	      71.3	      71.3	       0.0
[pyrunlim] sample:		   120.483	    91.320	     0.060	      71.3	      71.3	       0.0
[pyrunlim] sample:		   130.657	   101.490	     0.060	      71.3	      71.3	       0.0
[pyrunlim] sample:		   140.830	   111.670	     0.060	      71.6	      71.6	       0.0
[pyrunlim] sample:		   151.003	   121.840	     0.060	      71.6	      71.6	       0.0
[pyrunlim] sample:		   160.159	   131.000	     0.060	      71.6	      71.6	       0.0
[pyrunlim] sample:		   170.333	   141.170	     0.060	      71.6	      71.6	       0.0
[pyrunlim] sample:		   180.508	   151.350	     0.060	      71.6	      71.6	       0.0
[pyrunlim] sample:		   190.683	   161.520	     0.060	      71.8	      71.8	       0.0
[pyrunlim] sample:		   200.860	   171.700	     0.060	      71.8	      71.8	       0.0
[pyrunlim] sample:		   210.021	   180.860	     0.060	      71.8	      71.8	       0.0
[pyrunlim] sample:		   220.201	   191.040	     0.060	      72.3	      72.3	       0.0
[pyrunlim] sample:		   230.381	   201.220	     0.060	      72.6	      72.6	       0.0
[pyrunlim] sample:		   240.558	   211.400	     0.060	      73.4	      73.4	       0.0
[pyrunlim] sample:		   250.728	   221.560	     0.060	      73.4	      73.4	       0.0
[pyrunlim] sample:		   260.899	   231.740	     0.060	      73.4	      73.4	       0.0
[pyrunlim] sample:		   270.053	   240.890	     0.060	      73.4	      73.4	       0.0
[pyrunlim] sample:		   280.225	   251.060	     0.060	      75.2	      75.2	       0.0
[pyrunlim] sample:		   290.395	   258.830	     0.070	      77.2	      77.2	       0.0
[pyrunlim] sample:		   300.568	   269.000	     0.070	      82.1	      82.1	       0.0
[pyrunlim] sample:		   310.742	   279.180	     0.070	      82.1	      82.1	       0.0
[pyrunlim] sample:		   320.915	   289.350	     0.070	      82.1	      82.1	       0.0
[pyrunlim] sample:		   330.071	   298.500	     0.070	      82.1	      82.1	       0.0
[pyrunlim] sample:		   340.241	   308.670	     0.070	      82.9	      82.9	       0.0
[pyrunlim] sample:		   350.414	   318.840	     0.070	      82.9	      82.9	       0.0
[pyrunlim] sample:		   360.585	   329.020	     0.070	      82.9	      82.9	       0.0
[pyrunlim] sample:		   370.756	   339.190	     0.070	      86.0	      86.0	       0.0
[pyrunlim] sample:		   380.927	   349.360	     0.070	      86.0	      86.0	       0.0
[pyrunlim] sample:		   390.082	   358.510	     0.070	      86.0	      86.0	       0.0
[pyrunlim] sample:		   400.254	   368.680	     0.070	      86.0	      86.0	       0.0
[pyrunlim] sample:		   410.425	   378.850	     0.080	      86.0	      86.0	       0.0
[pyrunlim] sample:		   420.595	   389.010	     0.080	     109.1	     109.1	       0.0
[pyrunlim] sample:		   430.767	   399.190	     0.080	     109.1	     109.1	       0.0
[pyrunlim] sample:		   440.939	   409.350	     0.090	     109.1	     109.1	       0.0
[pyrunlim] sample:		   450.094	   418.510	     0.090	     109.1	     109.1	       0.0
[pyrunlim] sample:		   460.266	   428.680	     0.090	     109.1	     109.1	       0.0
[pyrunlim] sample:		   470.438	   438.850	     0.090	     109.1	     109.1	       0.0
[pyrunlim] sample:		   480.610	   449.030	     0.090	     109.1	     109.1	       0.0
[pyrunlim] sample:		   490.783	   459.190	     0.090	     109.1	     109.1	       0.0
[pyrunlim] sample:		   500.957	   469.370	     0.090	     109.1	     109.1	       0.0
[pyrunlim] sample:		   510.112	   478.520	     0.090	     109.1	     109.1	       0.0
[pyrunlim] sample:		   520.285	   488.690	     0.090	     109.1	     109.1	       0.0
[pyrunlim] sample:		   530.457	   498.860	     0.090	     109.1	     109.1	       0.0
[pyrunlim] sample:		   540.629	   509.040	     0.090	     109.1	     109.1	       0.0
[pyrunlim] sample:		   550.803	   519.210	     0.090	     109.1	     109.1	       0.0
[pyrunlim] sample:		   560.978	   529.390	     0.090	     109.1	     109.1	       0.0
[pyrunlim] sample:		   570.136	   538.540	     0.090	     109.1	     109.1	       0.0
[pyrunlim] sample:		   580.309	   548.710	     0.090	     109.1	     109.1	       0.0
[pyrunlim] sample:		   590.483	   558.890	     0.090	     109.1	     109.1	       0.0
[pyrunlim] sample:		   600.660	   569.060	     0.100	     109.1	     109.1	       0.0
[pyrunlim] sample:		   610.835	   579.240	     0.100	     109.1	     109.1	       0.0
[pyrunlim] sample:		   621.009	   589.410	     0.100	     109.1	     109.1	       0.0
[pyrunlim] sample:		   630.165	   598.560	     0.100	     109.1	     109.1	       0.0
[pyrunlim] sample:		   640.342	   608.730	     0.110	     109.1	     109.1	       0.0
[pyrunlim] sample:		   650.514	   618.900	     0.110	     109.1	     109.1	       0.0
[pyrunlim] sample:		   660.689	   629.070	     0.110	     109.1	     109.1	       0.0
[pyrunlim] sample:		   670.865	   639.250	     0.110	     109.1	     109.1	       0.0
[pyrunlim] sample:		   680.023	   648.410	     0.110	     109.1	     109.1	       0.0
[pyrunlim] sample:		   690.201	   658.590	     0.110	     109.1	     109.1	       0.0
[pyrunlim] sample:		   700.375	   668.760	     0.110	     109.1	     109.1	       0.0
[pyrunlim] sample:		   710.549	   678.930	     0.110	     109.1	     109.1	       0.0
[pyrunlim] sample:		   720.722	   689.110	     0.110	     109.1	     109.1	       0.0
[pyrunlim] sample:		   730.899	   699.280	     0.120	     109.1	     109.1	       0.0
[pyrunlim] sample:		   740.054	   708.430	     0.120	     109.1	     109.1	       0.0
[pyrunlim] sample:		   750.229	   718.610	     0.120	     109.1	     109.1	       0.0
[pyrunlim] sample:		   760.404	   728.780	     0.120	     109.1	     109.1	       0.0
[pyrunlim] sample:		   770.578	   738.960	     0.120	     109.1	     109.1	       0.0
