STEP0: (decrease_angle link1 angle180 angle150)
STEP1: (increase_angle link2 angle120 angle150)
STEP2: (increase_angle link2 angle90 angle120)
STEP3: (increase_angle link2 angle150 angle180)
STEP4: (increase_angle link2 angle180 angle210)
STEP5: (increase_angle link3 angle150 angle180)
STEP6: (increase_angle link3 angle180 angle210)
STEP7: (increase_angle link3 angle210 angle240)
STEP8: (increase_angle link3 angle240 angle270)
STEP9: (increase_angle link3 angle270 angle300)
