[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_7_12_n10 /home/emarolab/ASP/CAPF/ASP/clingo/data/7_12/7_12_n10.asp 7_12"
[pyrunlim] start:		Mon Jan 22 01:57:04 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.114	     0.000	     0.000	      10.0	      10.0	       0.0
[pyrunlim] sample:		    20.500	     0.970	     0.000	      49.1	      49.1	       0.0
[pyrunlim] sample:		    30.183	     2.330	     0.010	      69.2	      10.0	       0.0
[pyrunlim] sample:		    40.356	     6.380	     0.040	      91.7	      84.1	       0.0
[pyrunlim] sample:		    50.517	    13.560	     0.050	     104.9	     104.9	       0.0
[pyrunlim] sample:		    60.680	    21.580	     0.080	     111.5	     111.5	       0.0
[pyrunlim] sample:		    70.832	    31.730	     0.080	     111.5	     111.5	       0.0
[pyrunlim] sample:		    80.995	    39.580	     0.090	     111.5	      83.4	       0.0
[pyrunlim] sample:		    90.132	    48.710	     0.110	     118.1	     118.1	       0.0
[pyrunlim] sample:		   100.285	    58.860	     0.110	     118.1	     118.1	       0.0
[pyrunlim] sample:		   110.444	    66.980	     0.110	     118.1	      10.0	       0.0
[pyrunlim] sample:		   120.599	    76.930	     0.150	     124.5	     124.5	       0.0
[pyrunlim] sample:		   130.752	    87.080	     0.150	     124.5	     124.5	       0.0
[pyrunlim] sample:		   140.906	    97.230	     0.150	     124.5	     124.5	       0.0
[pyrunlim] sample:		   150.043	   106.370	     0.150	     124.5	     124.5	       0.0
[pyrunlim] sample:		   160.195	   116.520	     0.150	     124.5	     124.5	       0.0
