[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_7_12_n7 /home/emarolab/ASP/CAPF/ASP/clingo/data/7_12/7_12_n7.asp 7_12"
[pyrunlim] start:		Sun Jan 21 23:55:36 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.129	     0.010	     0.000	      10.1	      10.1	       0.0
[pyrunlim] sample:		    20.504	     0.720	     0.000	      39.1	      32.4	       0.0
[pyrunlim] sample:		    30.180	     4.240	     0.030	      74.1	      10.1	       0.0
[pyrunlim] sample:		    40.346	    11.550	     0.040	      80.8	      10.1	       0.0
[pyrunlim] sample:		    50.507	    20.610	     0.050	      89.3	      86.9	       0.0
[pyrunlim] sample:		    60.670	    28.730	     0.050	      89.3	      10.1	       0.0
[pyrunlim] sample:		    70.823	    38.160	     0.070	      93.3	      93.3	       0.0
[pyrunlim] sample:		    80.976	    48.310	     0.070	      93.3	      93.3	       0.0
[pyrunlim] sample:		    90.115	    57.450	     0.070	      93.3	      93.3	       0.0
[pyrunlim] sample:		   100.269	    67.600	     0.070	      93.3	      93.3	       0.0
[pyrunlim] sample:		   110.436	    75.620	     0.090	      99.8	      99.8	       0.0
[pyrunlim] sample:		   120.590	    85.770	     0.090	      99.8	      99.8	       0.0
[pyrunlim] sample:		   130.743	    95.930	     0.090	      99.8	      99.8	       0.0
[pyrunlim] sample:		   140.898	   106.080	     0.090	      99.8	      99.8	       0.0
[pyrunlim] sample:		   150.036	   115.210	     0.090	     100.1	     100.1	       0.0
[pyrunlim] sample:		   160.190	   125.370	     0.090	     100.1	     100.1	       0.0
[pyrunlim] sample:		   170.343	   135.520	     0.090	     100.1	     100.1	       0.0
[pyrunlim] sample:		   180.496	   145.670	     0.090	     100.1	     100.1	       0.0
[pyrunlim] sample:		   190.649	   155.830	     0.090	     100.1	     100.1	       0.0
[pyrunlim] sample:		   200.802	   165.980	     0.090	     100.1	     100.1	       0.0
[pyrunlim] sample:		   210.955	   176.130	     0.090	     100.1	     100.1	       0.0
[pyrunlim] sample:		   220.093	   185.270	     0.090	     100.1	     100.1	       0.0
[pyrunlim] sample:		   230.246	   195.420	     0.090	     100.1	     100.1	       0.0
[pyrunlim] sample:		   240.400	   205.580	     0.090	     100.1	     100.1	       0.0
[pyrunlim] sample:		   250.554	   215.730	     0.090	     100.1	     100.1	       0.0
[pyrunlim] sample:		   260.708	   225.890	     0.090	     100.1	     100.1	       0.0
[pyrunlim] sample:		   270.862	   236.040	     0.090	     100.1	     100.1	       0.0
[pyrunlim] sample:		   280.000	   245.180	     0.090	     100.1	     100.1	       0.0
[pyrunlim] sample:		   290.165	   252.490	     0.100	     109.3	     109.3	       0.0
[pyrunlim] sample:		   300.320	   262.640	     0.100	     109.3	     106.6	       0.0
[pyrunlim] sample:		   310.474	   272.790	     0.100	     109.3	     106.6	       0.0
