[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_14_6_n4 /home/emarolab/ASP/CAPF/ASP/clingo/data/14_6/14_6_n4.asp 14_6"
[pyrunlim] start:		Wed Jan 17 03:24:45 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.486	    10.440	     0.010	      56.1	      56.1	       0.0
[pyrunlim] sample:		    20.274	    20.230	     0.010	      56.3	      56.3	       0.0
[pyrunlim] sample:		    30.946	    30.900	     0.010	      59.4	      59.4	       0.0
[pyrunlim] sample:		    40.084	    40.030	     0.010	      59.4	      59.4	       0.0
[pyrunlim] sample:		    50.239	    50.190	     0.010	      59.4	      59.4	       0.0
[pyrunlim] sample:		    60.394	    60.340	     0.010	      59.4	      59.4	       0.0
[pyrunlim] sample:		    70.549	    70.500	     0.010	      59.4	      59.4	       0.0
[pyrunlim] sample:		    80.706	    80.660	     0.010	      59.4	      59.4	       0.0
[pyrunlim] sample:		    90.862	    90.810	     0.010	      59.4	      59.4	       0.0
[pyrunlim] sample:		   100.003	    99.950	     0.010	      59.4	      59.4	       0.0
[pyrunlim] sample:		   110.161	   110.110	     0.010	      59.4	      59.4	       0.0
[pyrunlim] sample:		   120.320	   120.260	     0.030	      68.2	      68.2	       0.0
[pyrunlim] sample:		   130.478	   130.420	     0.030	      69.4	      69.4	       0.0
[pyrunlim] sample:		   140.637	   140.570	     0.030	      69.4	      69.4	       0.0
[pyrunlim] sample:		   150.796	   150.730	     0.030	      69.4	      69.4	       0.0
[pyrunlim] sample:		   160.953	   160.890	     0.030	      69.4	      69.4	       0.0
[pyrunlim] sample:		   170.094	   170.030	     0.030	      69.4	      69.4	       0.0
[pyrunlim] sample:		   180.250	   180.190	     0.030	      69.4	      69.4	       0.0
[pyrunlim] sample:		   190.407	   190.340	     0.030	      69.4	      69.4	       0.0
[pyrunlim] sample:		   200.562	   200.500	     0.030	      69.4	      69.4	       0.0
[pyrunlim] sample:		   210.719	   210.650	     0.030	      69.4	      69.4	       0.0
[pyrunlim] sample:		   220.875	   220.810	     0.030	      69.4	      69.4	       0.0
[pyrunlim] sample:		   230.016	   229.950	     0.030	      69.4	      69.4	       0.0
[pyrunlim] sample:		   240.173	   240.110	     0.030	      69.4	      69.4	       0.0
[pyrunlim] sample:		   250.331	   250.260	     0.030	      69.4	      69.4	       0.0
[pyrunlim] sample:		   260.491	   260.420	     0.030	      69.4	      69.4	       0.0
[pyrunlim] sample:		   270.648	   270.580	     0.030	      73.3	      73.3	       0.0
[pyrunlim] sample:		   280.806	   280.740	     0.030	      73.3	      73.3	       0.0
[pyrunlim] sample:		   290.964	   290.900	     0.030	      73.3	      73.3	       0.0
[pyrunlim] sample:		   300.105	   300.040	     0.030	      73.6	      73.6	       0.0
[pyrunlim] sample:		   310.264	   310.200	     0.030	      73.6	      73.6	       0.0
[pyrunlim] sample:		   320.424	   320.360	     0.030	      84.4	      84.4	       0.0
[pyrunlim] sample:		   330.583	   330.520	     0.030	      84.4	      84.4	       0.0
[pyrunlim] sample:		   340.745	   340.680	     0.030	      84.4	      84.4	       0.0
[pyrunlim] sample:		   350.907	   350.840	     0.030	      84.4	      84.4	       0.0
[pyrunlim] sample:		   360.051	   359.980	     0.030	      84.4	      84.4	       0.0
[pyrunlim] sample:		   370.212	   370.140	     0.030	      84.4	      84.4	       0.0
[pyrunlim] sample:		   380.372	   380.300	     0.030	      84.4	      84.4	       0.0
[pyrunlim] sample:		   390.533	   390.460	     0.030	      84.4	      84.4	       0.0
[pyrunlim] sample:		   400.691	   400.620	     0.030	      84.4	      84.4	       0.0
[pyrunlim] sample:		   410.850	   410.780	     0.030	      84.4	      84.4	       0.0
[pyrunlim] sample:		   421.007	   420.940	     0.030	      84.4	      84.4	       0.0
[pyrunlim] sample:		   430.150	   430.080	     0.030	      84.4	      84.4	       0.0
[pyrunlim] sample:		   440.310	   440.240	     0.030	      84.4	      84.4	       0.0
[pyrunlim] sample:		   450.467	   450.400	     0.030	      84.4	      84.4	       0.0
[pyrunlim] sample:		   460.625	   460.550	     0.030	      84.4	      84.4	       0.0
[pyrunlim] sample:		   470.781	   470.710	     0.030	      84.4	      84.4	       0.0
[pyrunlim] sample:		   480.939	   480.870	     0.030	      84.4	      84.4	       0.0
[pyrunlim] sample:		   490.080	   490.010	     0.030	      84.4	      84.4	       0.0
