[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_14_6_n9 /home/emarolab/ASP/CAPF/ASP/clingo/data/14_6/14_6_n9.asp 14_6"
[pyrunlim] start:		Wed Jan 17 02:24:42 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.508	    10.480	     0.010	      64.5	      64.5	       0.0
[pyrunlim] sample:		    20.282	    20.250	     0.010	      67.1	      67.1	       0.0
[pyrunlim] sample:		    30.946	    30.910	     0.010	      67.1	      67.1	       0.0
[pyrunlim] sample:		    40.081	    40.040	     0.010	      71.2	      71.2	       0.0
[pyrunlim] sample:		    50.232	    50.200	     0.010	      79.0	      79.0	       0.0
[pyrunlim] sample:		    60.382	    60.340	     0.010	      79.0	      79.0	       0.0
[pyrunlim] sample:		    70.533	    70.500	     0.010	      79.0	      79.0	       0.0
[pyrunlim] sample:		    80.684	    80.650	     0.010	      79.0	      79.0	       0.0
[pyrunlim] sample:		    90.835	    90.790	     0.010	      79.0	      79.0	       0.0
[pyrunlim] sample:		   100.986	   100.950	     0.010	      79.0	      79.0	       0.0
[pyrunlim] sample:		   110.122	   110.080	     0.010	      79.0	      79.0	       0.0
[pyrunlim] sample:		   120.273	   120.230	     0.010	      79.0	      79.0	       0.0
[pyrunlim] sample:		   130.424	   130.380	     0.010	      79.0	      79.0	       0.0
[pyrunlim] sample:		   140.575	   140.530	     0.010	      79.0	      79.0	       0.0
[pyrunlim] sample:		   150.726	   150.690	     0.010	      79.0	      79.0	       0.0
[pyrunlim] sample:		   160.879	   160.840	     0.010	      79.0	      79.0	       0.0
[pyrunlim] sample:		   170.015	   169.970	     0.010	      79.0	      79.0	       0.0
[pyrunlim] sample:		   180.167	   180.130	     0.010	      79.0	      79.0	       0.0
[pyrunlim] sample:		   190.319	   190.280	     0.010	      79.0	      79.0	       0.0
[pyrunlim] sample:		   200.471	   200.430	     0.010	      79.0	      79.0	       0.0
[pyrunlim] sample:		   210.624	   210.590	     0.010	      79.0	      79.0	       0.0
[pyrunlim] sample:		   220.776	   220.740	     0.010	      79.0	      79.0	       0.0
[pyrunlim] sample:		   230.927	   230.880	     0.010	      79.0	      79.0	       0.0
[pyrunlim] sample:		   240.063	   240.020	     0.010	      79.5	      79.5	       0.0
[pyrunlim] sample:		   250.215	   250.170	     0.010	      81.0	      81.0	       0.0
[pyrunlim] sample:		   260.367	   260.320	     0.010	      81.0	      81.0	       0.0
[pyrunlim] sample:		   270.520	   270.480	     0.010	      81.0	      81.0	       0.0
[pyrunlim] sample:		   280.674	   280.630	     0.010	      81.0	      81.0	       0.0
[pyrunlim] sample:		   290.829	   290.790	     0.010	      81.0	      81.0	       0.0
[pyrunlim] sample:		   300.984	   300.940	     0.010	      81.0	      81.0	       0.0
[pyrunlim] sample:		   310.121	   310.080	     0.010	      81.0	      81.0	       0.0
[pyrunlim] sample:		   320.273	   320.230	     0.010	      81.0	      81.0	       0.0
[pyrunlim] sample:		   330.425	   330.380	     0.010	      81.0	      81.0	       0.0
[pyrunlim] sample:		   340.579	   340.540	     0.010	      81.0	      81.0	       0.0
[pyrunlim] sample:		   350.731	   350.690	     0.010	      81.0	      81.0	       0.0
[pyrunlim] sample:		   360.884	   360.840	     0.010	      82.3	      82.3	       0.0
[pyrunlim] sample:		   370.023	   369.980	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   380.177	   380.130	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   390.338	   390.290	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   400.497	   400.450	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   410.658	   410.610	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   420.818	   420.770	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   430.978	   430.930	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   440.119	   440.070	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   450.274	   450.230	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   460.429	   460.390	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   470.583	   470.540	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   480.739	   480.690	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   490.896	   490.850	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   500.035	   499.990	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   510.191	   510.140	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   520.346	   520.300	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   530.503	   530.460	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   540.660	   540.620	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   550.819	   550.770	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   560.976	   560.930	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   570.119	   570.070	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   580.276	   580.230	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   590.432	   590.380	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   600.589	   600.540	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   610.748	   610.700	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   620.904	   620.860	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   630.047	   630.000	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   640.206	   640.160	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   650.363	   650.310	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   660.520	   660.470	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   670.677	   670.630	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   680.832	   680.790	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   690.990	   690.940	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   700.134	   700.090	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   710.291	   710.240	     0.010	      86.7	      86.7	       0.0
[pyrunlim] sample:		   720.450	   720.400	     0.010	      86.7	      86.7	       0.0
