[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_14_6_n10 /home/emarolab/ASP/CAPF/ASP/clingo/data/14_6/14_6_n10.asp 14_6"
[pyrunlim] start:		Wed Jan 17 01:24:40 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.468	    10.410	     0.020	      72.1	      72.1	       0.0
[pyrunlim] sample:		    20.251	    20.200	     0.020	      72.1	      72.1	       0.0
[pyrunlim] sample:		    30.920	    30.870	     0.020	      72.1	      72.1	       0.0
[pyrunlim] sample:		    40.059	    40.010	     0.020	      72.1	      72.1	       0.0
[pyrunlim] sample:		    50.215	    50.160	     0.020	      72.4	      72.4	       0.0
[pyrunlim] sample:		    60.370	    60.320	     0.020	      72.4	      72.4	       0.0
[pyrunlim] sample:		    70.527	    70.470	     0.020	      72.4	      72.4	       0.0
[pyrunlim] sample:		    80.682	    80.630	     0.020	      72.4	      72.4	       0.0
[pyrunlim] sample:		    90.838	    90.790	     0.020	      72.4	      72.4	       0.0
[pyrunlim] sample:		   100.992	   100.940	     0.020	      72.4	      72.4	       0.0
[pyrunlim] sample:		   110.132	   110.080	     0.020	      72.4	      72.4	       0.0
[pyrunlim] sample:		   120.289	   120.240	     0.020	      72.4	      72.4	       0.0
[pyrunlim] sample:		   130.445	   130.390	     0.020	      72.6	      72.6	       0.0
[pyrunlim] sample:		   140.603	   140.550	     0.020	      72.6	      72.6	       0.0
[pyrunlim] sample:		   150.762	   150.710	     0.020	      72.6	      72.6	       0.0
[pyrunlim] sample:		   160.925	   160.870	     0.020	      72.6	      72.6	       0.0
[pyrunlim] sample:		   170.071	   170.020	     0.020	      72.6	      72.6	       0.0
[pyrunlim] sample:		   180.232	   180.180	     0.020	      72.6	      72.6	       0.0
[pyrunlim] sample:		   190.390	   190.340	     0.020	      72.6	      72.6	       0.0
[pyrunlim] sample:		   200.546	   200.490	     0.020	      72.9	      72.9	       0.0
[pyrunlim] sample:		   210.703	   210.650	     0.020	      72.9	      72.9	       0.0
[pyrunlim] sample:		   220.860	   220.800	     0.020	      72.9	      72.9	       0.0
[pyrunlim] sample:		   230.002	   229.950	     0.020	      72.9	      72.9	       0.0
[pyrunlim] sample:		   240.159	   240.100	     0.020	      72.9	      72.9	       0.0
[pyrunlim] sample:		   250.317	   250.260	     0.020	      73.7	      73.7	       0.0
[pyrunlim] sample:		   260.473	   260.420	     0.020	      73.9	      73.9	       0.0
[pyrunlim] sample:		   270.630	   270.570	     0.020	      73.9	      73.9	       0.0
[pyrunlim] sample:		   280.789	   280.730	     0.020	      73.9	      73.9	       0.0
[pyrunlim] sample:		   290.947	   290.890	     0.020	      74.2	      74.2	       0.0
[pyrunlim] sample:		   300.089	   300.030	     0.020	      74.2	      74.2	       0.0
[pyrunlim] sample:		   310.245	   310.190	     0.020	      74.2	      74.2	       0.0
[pyrunlim] sample:		   320.402	   320.350	     0.020	      74.2	      74.2	       0.0
[pyrunlim] sample:		   330.559	   330.500	     0.020	      74.2	      74.2	       0.0
[pyrunlim] sample:		   340.715	   340.660	     0.020	      74.2	      74.2	       0.0
[pyrunlim] sample:		   350.872	   350.810	     0.020	      74.2	      74.2	       0.0
[pyrunlim] sample:		   360.013	   359.960	     0.020	      75.7	      75.7	       0.0
[pyrunlim] sample:		   370.173	   370.110	     0.020	      75.7	      75.7	       0.0
[pyrunlim] sample:		   380.329	   380.270	     0.020	      83.7	      83.7	       0.0
[pyrunlim] sample:		   390.488	   390.430	     0.020	      83.7	      83.7	       0.0
[pyrunlim] sample:		   400.648	   400.590	     0.020	      83.7	      83.7	       0.0
[pyrunlim] sample:		   410.810	   410.750	     0.020	      83.7	      83.7	       0.0
[pyrunlim] sample:		   420.974	   420.920	     0.020	      83.7	      83.7	       0.0
[pyrunlim] sample:		   430.119	   430.060	     0.020	      83.7	      83.7	       0.0
[pyrunlim] sample:		   440.282	   440.220	     0.020	      83.7	      83.7	       0.0
[pyrunlim] sample:		   450.444	   450.380	     0.020	      83.7	      83.7	       0.0
[pyrunlim] sample:		   460.606	   460.550	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   470.767	   470.710	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   480.927	   480.870	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   490.071	   490.010	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   500.232	   500.170	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   510.386	   510.330	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   520.541	   520.480	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   530.696	   530.640	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   540.854	   540.800	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   551.014	   550.960	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   560.159	   560.100	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   570.321	   570.260	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   580.482	   580.420	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   590.643	   590.580	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   600.804	   600.740	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   610.965	   610.910	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   620.110	   620.050	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   630.271	   630.210	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   640.431	   640.370	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   650.592	   650.530	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   660.754	   660.690	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   670.914	   670.850	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   680.058	   680.000	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   690.219	   690.160	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   700.380	   700.320	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   710.541	   710.480	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   720.700	   720.640	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   730.855	   730.790	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   741.012	   740.950	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   750.156	   750.090	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   760.316	   760.250	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   770.475	   770.410	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   780.636	   780.570	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   790.796	   790.730	     0.020	      84.0	      84.0	       0.0
[pyrunlim] sample:		   800.956	   800.890	     0.020	      84.7	      84.7	       0.0
[pyrunlim] sample:		   810.102	   810.040	     0.020	      84.7	      84.7	       0.0
[pyrunlim] sample:		   820.264	   820.200	     0.020	      84.7	      84.7	       0.0
[pyrunlim] sample:		   830.429	   830.370	     0.020	      84.7	      84.7	       0.0
[pyrunlim] sample:		   840.592	   840.530	     0.020	      84.7	      84.7	       0.0
[pyrunlim] sample:		   850.757	   850.690	     0.020	      84.7	      84.7	       0.0
[pyrunlim] sample:		   860.921	   860.860	     0.020	      84.7	      84.7	       0.0
[pyrunlim] sample:		   870.067	   870.000	     0.020	      84.7	      84.7	       0.0
[pyrunlim] sample:		   880.233	   880.170	     0.020	      84.7	      84.7	       0.0
[pyrunlim] sample:		   890.396	   890.330	     0.020	      84.7	      84.7	       0.0
[pyrunlim] sample:		   900.561	   900.490	     0.030	      89.6	      89.6	       0.0
[pyrunlim] sample:		   910.727	   910.660	     0.030	      89.6	      89.6	       0.0
[pyrunlim] sample:		   920.891	   920.820	     0.030	      89.6	      89.6	       0.0
[pyrunlim] sample:		   930.041	   929.970	     0.030	      89.6	      89.6	       0.0
[pyrunlim] sample:		   940.202	   940.130	     0.030	      89.6	      89.6	       0.0
[pyrunlim] sample:		   950.360	   950.290	     0.030	      89.6	      89.6	       0.0
[pyrunlim] sample:		   960.518	   960.450	     0.030	      89.6	      89.6	       0.0
[pyrunlim] sample:		   970.676	   970.610	     0.030	      89.6	      89.6	       0.0
[pyrunlim] sample:		   980.836	   980.770	     0.030	      89.6	      89.6	       0.0
[pyrunlim] sample:		   990.996	   990.930	     0.030	      89.6	      89.6	       0.0
[pyrunlim] sample:		  1000.139	  1000.070	     0.030	      89.6	      89.6	       0.0
[pyrunlim] sample:		  1010.297	  1010.230	     0.030	      89.6	      89.6	       0.0
[pyrunlim] sample:		  1020.458	  1020.390	     0.030	      89.6	      89.6	       0.0
[pyrunlim] sample:		  1030.617	  1030.550	     0.030	      89.6	      89.6	       0.0
[pyrunlim] sample:		  1040.781	  1040.710	     0.030	      89.6	      89.6	       0.0
[pyrunlim] sample:		  1050.945	  1050.870	     0.030	      89.6	      89.6	       0.0
[pyrunlim] sample:		  1060.091	  1060.020	     0.030	      89.6	      89.6	       0.0
[pyrunlim] sample:		  1070.252	  1070.180	     0.030	      89.6	      89.6	       0.0
[pyrunlim] sample:		  1080.415	  1080.340	     0.030	      89.6	      89.6	       0.0
[pyrunlim] sample:		  1090.582	  1090.510	     0.030	      89.6	      89.6	       0.0
[pyrunlim] sample:		  1100.743	  1100.670	     0.030	      89.6	      89.6	       0.0
[pyrunlim] sample:		  1110.900	  1110.830	     0.030	      89.6	      89.6	       0.0
[pyrunlim] sample:		  1120.043	  1119.970	     0.030	      89.6	      89.6	       0.0
[pyrunlim] sample:		  1130.202	  1130.130	     0.030	      89.6	      89.6	       0.0
[pyrunlim] sample:		  1140.363	  1140.290	     0.030	      89.6	      89.6	       0.0
[pyrunlim] sample:		  1150.527	  1150.460	     0.030	      89.6	      89.6	       0.0
[pyrunlim] sample:		  1160.694	  1160.620	     0.030	      89.6	      89.6	       0.0
[pyrunlim] sample:		  1170.861	  1170.790	     0.030	      89.6	      89.6	       0.0
[pyrunlim] sample:		  1180.009	  1179.940	     0.030	      89.6	      89.6	       0.0
