[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_6_12_n3 /home/emarolab/ASP/CAPF/ASP/clingo/data/6_12/6_12_n3.asp 6_12"
[pyrunlim] start:		Sat Jan 20 08:45:07 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.081	     0.000	     0.000	       9.9	       9.9	       0.0
[pyrunlim] sample:		    20.449	     0.520	     0.000	      43.7	       9.9	       0.0
[pyrunlim] sample:		    30.127	     3.660	     0.030	      64.7	      64.7	       0.0
[pyrunlim] sample:		    40.286	    11.370	     0.040	      69.4	      69.4	       0.0
[pyrunlim] sample:		    50.434	    21.520	     0.040	      69.4	      69.4	       0.0
[pyrunlim] sample:		    60.607	    29.070	     0.040	      74.6	      74.6	       0.0
[pyrunlim] sample:		    70.757	    39.220	     0.040	      74.6	      74.6	       0.0
[pyrunlim] sample:		    80.906	    49.370	     0.040	      74.6	      74.6	       0.0
[pyrunlim] sample:		    90.041	    58.500	     0.040	      74.6	      74.6	       0.0
[pyrunlim] sample:		   100.190	    68.650	     0.040	      74.6	      74.6	       0.0
[pyrunlim] sample:		   110.340	    78.800	     0.040	      74.6	      74.6	       0.0
[pyrunlim] sample:		   120.518	    86.420	     0.060	      79.1	      79.1	       0.0
[pyrunlim] sample:		   130.768	    96.670	     0.060	      79.1	      79.1	       0.0
[pyrunlim] sample:		   141.017	   106.920	     0.060	      79.1	      79.1	       0.0
[pyrunlim] sample:		   150.240	   116.140	     0.060	      79.1	      79.1	       0.0
[pyrunlim] sample:		   160.490	   126.390	     0.060	      79.1	      79.1	       0.0
[pyrunlim] sample:		   170.739	   136.640	     0.060	      79.1	      79.1	       0.0
[pyrunlim] sample:		   180.988	   146.890	     0.060	      79.1	      79.1	       0.0
[pyrunlim] sample:		   190.213	   156.110	     0.060	      79.1	      79.1	       0.0
[pyrunlim] sample:		   200.464	   166.370	     0.060	      79.1	      79.1	       0.0
[pyrunlim] sample:		   210.663	   176.570	     0.060	      79.1	      79.1	       0.0
[pyrunlim] sample:		   220.814	   186.710	     0.060	      79.1	      79.1	       0.0
[pyrunlim] sample:		   230.966	   196.870	     0.060	      79.1	      79.1	       0.0
[pyrunlim] sample:		   240.103	   206.010	     0.060	      79.3	      79.3	       0.0
[pyrunlim] sample:		   250.256	   216.160	     0.060	      79.3	      79.3	       0.0
[pyrunlim] sample:		   260.408	   226.310	     0.060	      79.6	      79.6	       0.0
[pyrunlim] sample:		   270.559	   236.460	     0.060	      79.6	      79.6	       0.0
[pyrunlim] sample:		   280.712	   246.610	     0.060	      79.6	      79.6	       0.0
[pyrunlim] sample:		   290.864	   256.760	     0.060	      79.6	      79.6	       0.0
[pyrunlim] sample:		   300.001	   265.900	     0.060	      79.6	      79.6	       0.0
[pyrunlim] sample:		   310.153	   276.050	     0.060	      79.6	      79.6	       0.0
[pyrunlim] sample:		   320.305	   286.200	     0.060	      79.6	      79.6	       0.0
[pyrunlim] sample:		   330.457	   296.360	     0.060	      79.6	      79.6	       0.0
[pyrunlim] sample:		   340.609	   306.510	     0.060	      79.6	      79.6	       0.0
[pyrunlim] sample:		   350.761	   316.660	     0.060	      79.6	      79.6	       0.0
[pyrunlim] sample:		   360.914	   326.810	     0.060	      79.6	      79.6	       0.0
[pyrunlim] sample:		   370.051	   335.950	     0.060	      80.1	      80.1	       0.0
[pyrunlim] sample:		   380.203	   346.100	     0.060	      80.1	      80.1	       0.0
[pyrunlim] sample:		   390.356	   356.250	     0.060	      80.1	      80.1	       0.0
[pyrunlim] sample:		   400.508	   366.410	     0.060	      80.1	      80.1	       0.0
[pyrunlim] sample:		   410.660	   376.560	     0.060	      80.1	      80.1	       0.0
[pyrunlim] sample:		   420.816	   383.910	     0.070	      83.9	      83.9	       0.0
[pyrunlim] sample:		   430.966	   394.060	     0.070	      83.9	      83.9	       0.0
[pyrunlim] sample:		   440.101	   403.200	     0.070	      83.9	      83.9	       0.0
[pyrunlim] sample:		   450.252	   413.350	     0.070	      83.9	      83.9	       0.0
[pyrunlim] sample:		   460.402	   423.500	     0.070	      83.9	      83.9	       0.0
[pyrunlim] sample:		   470.553	   433.650	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   480.703	   443.800	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   490.855	   453.950	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   501.006	   464.100	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   510.142	   473.240	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   520.293	   483.390	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   530.443	   493.540	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   540.593	   503.690	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   550.744	   513.840	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   560.895	   523.990	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   570.030	   533.120	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   580.181	   543.280	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   590.332	   553.430	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   600.482	   563.580	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   610.633	   573.730	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   620.784	   583.880	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   630.935	   594.030	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   640.071	   603.170	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   650.222	   613.320	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   660.373	   623.470	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   670.525	   633.620	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   680.676	   643.770	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   690.827	   653.920	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   700.978	   664.070	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   710.114	   673.210	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   720.266	   683.360	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   730.417	   693.510	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   740.569	   703.660	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   750.719	   713.810	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   760.869	   723.960	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   770.005	   733.100	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   780.155	   743.250	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   790.306	   753.400	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   800.457	   763.550	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   810.607	   773.700	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   820.759	   783.850	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   830.909	   794.000	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   840.046	   803.140	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   850.196	   813.290	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   860.348	   823.440	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   870.499	   833.590	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   880.650	   843.740	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   890.802	   853.890	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   900.952	   864.040	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   910.087	   873.180	     0.070	      86.7	      86.7	       0.0
[pyrunlim] sample:		   920.238	   883.330	     0.070	      89.3	      89.3	       0.0
[pyrunlim] sample:		   930.389	   893.480	     0.070	      89.3	      89.3	       0.0
[pyrunlim] sample:		   940.541	   903.630	     0.070	      90.8	      90.8	       0.0
[pyrunlim] sample:		   950.692	   913.780	     0.070	      90.8	      90.8	       0.0
[pyrunlim] sample:		   960.843	   923.930	     0.070	      90.8	      90.8	       0.0
[pyrunlim] sample:		   970.994	   934.080	     0.070	      90.8	      90.8	       0.0
[pyrunlim] sample:		   980.130	   943.220	     0.070	      92.9	      92.9	       0.0
[pyrunlim] sample:		   990.281	   953.370	     0.070	      93.9	      93.9	       0.0
[pyrunlim] sample:		  1000.432	   963.520	     0.070	      93.9	      93.9	       0.0
[pyrunlim] sample:		  1010.583	   973.670	     0.070	      93.9	      93.9	       0.0
[pyrunlim] sample:		  1020.734	   983.820	     0.070	      93.9	      93.9	       0.0
[pyrunlim] sample:		  1030.885	   993.970	     0.070	      94.7	      94.7	       0.0
[pyrunlim] sample:		  1040.021	  1003.110	     0.070	      94.7	      94.7	       0.0
[pyrunlim] sample:		  1050.172	  1013.260	     0.070	      94.7	      94.7	       0.0
[pyrunlim] sample:		  1060.323	  1023.410	     0.070	      94.7	      94.7	       0.0
[pyrunlim] sample:		  1070.474	  1033.560	     0.070	      94.7	      94.7	       0.0
[pyrunlim] sample:		  1080.626	  1043.710	     0.070	      94.7	      94.7	       0.0
[pyrunlim] sample:		  1090.778	  1053.870	     0.070	      94.7	      94.7	       0.0
[pyrunlim] sample:		  1100.929	  1064.020	     0.070	      94.7	      94.7	       0.0
[pyrunlim] sample:		  1110.065	  1073.150	     0.070	      94.7	      94.7	       0.0
[pyrunlim] sample:		  1120.217	  1083.300	     0.070	      94.7	      94.7	       0.0
[pyrunlim] sample:		  1130.369	  1093.460	     0.070	      94.7	      94.7	       0.0
[pyrunlim] sample:		  1140.521	  1103.610	     0.070	      94.7	      94.7	       0.0
[pyrunlim] sample:		  1150.673	  1113.760	     0.070	      94.7	      94.7	       0.0
[pyrunlim] sample:		  1160.825	  1123.910	     0.070	      94.7	      94.7	       0.0
[pyrunlim] sample:		  1170.977	  1134.060	     0.070	      94.7	      94.7	       0.0
[pyrunlim] sample:		  1180.113	  1143.200	     0.070	      94.7	      94.7	       0.0
[pyrunlim] sample:		  1190.265	  1153.350	     0.070	      97.3	      97.3	       0.0
[pyrunlim] sample:		  1200.417	  1163.500	     0.070	      97.3	      97.3	       0.0
[pyrunlim] sample:		  1210.569	  1173.660	     0.070	      97.3	      97.3	       0.0
[pyrunlim] sample:		  1220.721	  1183.810	     0.070	      97.3	      97.3	       0.0
[pyrunlim] sample:		  1230.873	  1193.960	     0.070	      97.3	      97.3	       0.0
[pyrunlim] sample:		  1240.011	  1203.100	     0.070	      97.3	      97.3	       0.0
[pyrunlim] sample:		  1250.164	  1213.250	     0.070	      97.3	      97.3	       0.0
[pyrunlim] sample:		  1260.316	  1223.400	     0.070	      97.3	      97.3	       0.0
[pyrunlim] sample:		  1270.468	  1233.550	     0.070	      97.3	      97.3	       0.0
[pyrunlim] sample:		  1280.621	  1243.710	     0.070	      97.3	      97.3	       0.0
[pyrunlim] sample:		  1290.773	  1253.860	     0.070	      97.3	      97.3	       0.0
[pyrunlim] sample:		  1300.926	  1264.010	     0.070	      97.3	      97.3	       0.0
[pyrunlim] sample:		  1310.062	  1273.150	     0.070	      97.3	      97.3	       0.0
[pyrunlim] sample:		  1320.215	  1283.300	     0.070	      97.3	      97.3	       0.0
[pyrunlim] sample:		  1330.367	  1293.450	     0.070	      97.3	      97.3	       0.0
[pyrunlim] sample:		  1340.520	  1303.610	     0.070	      97.3	      97.3	       0.0
[pyrunlim] sample:		  1350.672	  1313.760	     0.070	      97.3	      97.3	       0.0
[pyrunlim] sample:		  1360.824	  1323.910	     0.070	      97.3	      97.3	       0.0
[pyrunlim] sample:		  1370.977	  1334.060	     0.070	      98.3	      98.3	       0.0
[pyrunlim] sample:		  1380.115	  1343.200	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1390.268	  1353.350	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1400.421	  1363.500	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1410.574	  1373.650	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1420.727	  1383.810	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1430.880	  1393.960	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1440.018	  1403.100	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1450.171	  1413.250	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1460.325	  1423.400	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1470.478	  1433.560	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1480.632	  1443.710	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1490.786	  1453.860	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1500.938	  1464.020	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1510.076	  1473.160	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1520.228	  1483.310	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1530.381	  1493.460	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1540.534	  1503.610	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1550.686	  1513.760	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1560.838	  1523.920	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1570.990	  1534.070	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1580.127	  1543.210	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1590.279	  1553.350	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1600.430	  1563.510	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1610.582	  1573.660	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1620.734	  1583.810	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1630.886	  1593.960	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1640.023	  1603.100	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1650.176	  1613.250	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1660.329	  1623.410	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1670.481	  1633.560	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1680.634	  1643.710	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1690.787	  1653.860	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1700.939	  1664.010	     0.070	     108.1	     108.1	       0.0
[pyrunlim] sample:		  1710.075	  1673.150	     0.070	     112.7	     112.7	       0.0
[pyrunlim] sample:		  1720.229	  1683.310	     0.070	     112.7	     112.7	       0.0
[pyrunlim] sample:		  1730.382	  1693.460	     0.070	     112.7	     112.7	       0.0
[pyrunlim] sample:		  1740.535	  1703.610	     0.070	     112.7	     112.7	       0.0
[pyrunlim] sample:		  1750.688	  1713.760	     0.070	     112.7	     112.7	       0.0
[pyrunlim] sample:		  1760.841	  1723.920	     0.070	     112.7	     112.7	       0.0
[pyrunlim] sample:		  1770.994	  1734.070	     0.070	     112.7	     112.7	       0.0
[pyrunlim] sample:		  1780.132	  1743.210	     0.070	     112.7	     112.7	       0.0
[pyrunlim] sample:		  1790.286	  1753.360	     0.070	     116.6	     116.6	       0.0
[pyrunlim] sample:		  1800.440	  1763.510	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  1810.594	  1773.660	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  1820.748	  1783.820	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  1830.902	  1793.970	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  1840.040	  1803.110	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  1850.195	  1813.270	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  1860.349	  1823.420	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  1870.504	  1833.580	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  1880.658	  1843.730	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  1890.812	  1853.880	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  1900.966	  1864.030	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  1910.105	  1873.170	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  1920.260	  1883.330	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  1930.414	  1893.480	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  1940.568	  1903.640	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  1950.723	  1913.790	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  1960.878	  1923.950	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  1970.018	  1933.090	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  1980.173	  1943.240	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  1990.328	  1953.400	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  2000.484	  1963.550	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  2010.639	  1973.710	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  2020.793	  1983.860	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  2030.948	  1994.020	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  2040.088	  2003.160	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  2050.244	  2013.310	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  2060.398	  2023.460	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  2070.552	  2033.620	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  2080.704	  2043.770	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  2090.859	  2053.930	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  2101.013	  2064.080	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  2110.152	  2073.220	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  2120.306	  2083.370	     0.070	     123.8	     123.8	       0.0
[pyrunlim] sample:		  2130.460	  2093.530	     0.070	     123.8	     123.8	       0.0
