[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_10_6_n2 /home/emarolab/ASP/CAPF/ASP/clingo/data/10_6/10_6_n2.asp 10_6"
[pyrunlim] start:		Tue Jan 16 03:06:02 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.381	     0.000	     0.000	      10.1	      10.1	       0.0
[pyrunlim] sample:		    20.124	     0.740	     0.000	      30.6	      10.1	       0.0
[pyrunlim] sample:		    30.775	     7.140	     0.000	      35.0	      35.0	       0.0
[pyrunlim] sample:		    40.918	    14.480	     0.000	      37.1	      37.1	       0.0
[pyrunlim] sample:		    50.049	    23.610	     0.000	      37.1	      37.1	       0.0
[pyrunlim] sample:		    60.195	    33.760	     0.000	      37.1	      37.1	       0.0
[pyrunlim] sample:		    70.342	    43.910	     0.000	      37.3	      37.3	       0.0
[pyrunlim] sample:		    80.489	    54.050	     0.000	      37.3	      37.3	       0.0
[pyrunlim] sample:		    90.638	    64.200	     0.000	      38.9	      38.9	       0.0
[pyrunlim] sample:		   100.789	    74.350	     0.000	      39.1	      39.1	       0.0
[pyrunlim] sample:		   110.941	    84.500	     0.000	      39.9	      39.9	       0.0
[pyrunlim] sample:		   120.075	    92.620	     0.000	      41.4	      10.1	       0.0
[pyrunlim] sample:		   130.222	   100.960	     0.000	      41.4	      39.2	       0.0
[pyrunlim] sample:		   140.369	   111.100	     0.000	      41.4	      39.2	       0.0
[pyrunlim] sample:		   150.516	   121.250	     0.000	      41.4	      39.2	       0.0
[pyrunlim] sample:		   160.663	   131.400	     0.000	      41.4	      39.2	       0.0
